order_id,timestamp,item,amount,unit,qty,price,bill_total
ORD71004971170,"25 Feb 2026, 01:54 AM",Kangaro Stapler Set (Multicolour),6,pcs,1,184,225.12
ORD71004971170,"25 Feb 2026, 01:54 AM",Uniball MFB 0.7 mm Uniball MFB 0.7 mm (Blue),1,unit,1,0,225.12
ORD71004971170,"25 Feb 2026, 01:54 AM",Handling charge,,,,8,225.12
ORD71004971170,"25 Feb 2026, 01:54 AM",Late night convenience charge,,,,15,225.12
ORD71004971170,"25 Feb 2026, 01:54 AM",Delivery charges,,,,11,225.12
ORD71004971170,"25 Feb 2026, 01:54 AM",Feeding India donation,,,,1,225.12
ORD71004971170,"25 Feb 2026, 01:54 AM",+₹6.12,,,,6.12,225.12
ORD70585452279,"25 Feb 2026, 01:54 AM","D-FIX Cello Tape Set (Brown, 65 m x 2"")",3,pcs,1,199,199
ORD75175518393,"23 Feb 2026, 11:27 PM",Nutrela Soya Chunks,1,kg,1,124,221.95
ORD75175518393,"23 Feb 2026, 11:27 PM",Mother Dairy Classic Pouch Curd,1,kg,1,77,221.95
ORD75175518393,"23 Feb 2026, 11:27 PM",Handling charge,,,,8,221.95
ORD75175518393,"23 Feb 2026, 11:27 PM",Delivery charges,,,,11,221.95
ORD75175518393,"23 Feb 2026, 11:27 PM",Feeding India donation,,,,1,221.95
ORD75175518393,"23 Feb 2026, 11:27 PM",+₹0.95,,,,0.95,221.95
ORD32741376730,"23 Feb 2026, 10:05 PM",Mother Dairy Classic Cup Curd,200,g,1,25,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",Amul Moti Toned Milk (90 Days Shelf Life),450,ml,1,32,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",Potato (0.95-1.05) kg Pack of 2,1,kg,2,27,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",Amul Fresh Malai Paneer,200,g,1,92,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",Amul Gold Tricone Butterscotch Ice Cream Cone,120,ml,1,35,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",Handling charge,,,,8,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",Delivery charges,,,,11,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",Feeding India donation,,,,1,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",Tip amount,,,,50,233.72
ORD32741376730,"23 Feb 2026, 10:05 PM",+₹2.72,,,,2.72,233.72
ORD92335420141,"22 Feb 2026, 06:46 PM",Black & White Single Side Portrait Black & white Single side Portrait,1,pc,1,3,31.14
ORD92335420141,"22 Feb 2026, 06:46 PM",Handling charge,,,,8,31.14
ORD92335420141,"22 Feb 2026, 06:46 PM",Delivery charges,,,,15,31.14
ORD92335420141,"22 Feb 2026, 06:46 PM",Feeding India donation,,,,1,31.14
ORD92335420141,"22 Feb 2026, 06:46 PM",+₹4.14,,,,4.14,31.14
ORD33263546578,"22 Feb 2026, 01:49 PM",Colour Single Side Landscape Passport Photos,1,pc,20,194,222.14
ORD33263546578,"22 Feb 2026, 01:49 PM",Handling charge,,,,8,222.14
ORD33263546578,"22 Feb 2026, 01:49 PM",Delivery charges,,,,15,222.14
ORD33263546578,"22 Feb 2026, 01:49 PM",Feeding India donation,,,,1,222.14
ORD33263546578,"22 Feb 2026, 01:49 PM",+₹4.14,,,,4.14,222.14
ORD42513269223,"21 Feb 2026, 12:03 AM",Aashirvaad High Fibre Atta with Multigrains - 10 kg,10,kg,1,602,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Green Chilli,100,g,1,20,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Mother Dairy Classic Cup Curd,400,g,1,50,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Cauliflower,400,g,1,18,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Mother Dairy Toned Milk,500,ml,2,58,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Green Capsicum,250,g,1,22,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Coriander Bunch,100,g,1,1,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Bottle Gourd,400,g,1,59,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Banana - Pack of 2,3,pcs,2,81,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Handling charge,,,,8,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Late night convenience charge,,,,15,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Delivery charges,,,,11,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",Feeding India donation,,,,1,948.93
ORD42513269223,"21 Feb 2026, 12:03 AM",+₹2.96,,,,2.96,948.93
ORD86388271660,"15 Feb 2026, 05:17 PM",Vaseline Deep Moisture Body Lotion,40,ml,1,0,182
ORD86388271660,"15 Feb 2026, 05:17 PM",Mother Dairy Classic Pouch Curd,1,kg,1,77,182
ORD86388271660,"15 Feb 2026, 05:17 PM",Havmor Slice Cassata Ice Cream,150,ml,1,65,182
ORD86388271660,"15 Feb 2026, 05:17 PM",Handling charge,,,,9,182
ORD86388271660,"15 Feb 2026, 05:17 PM",Delivery charges,,,,30,182
ORD86388271660,"15 Feb 2026, 05:17 PM",Feeding India donation,,,,1,182
ORD91567506800,"14 Feb 2026, 05:28 PM",Coriander Bunch,100,g,1,7,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Mother Dairy Toned Milk,500,ml,2,58,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",English Oven Zero Maida Pav,250,g,2,100,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Amul Salted Butter (200 g),200,g,1,118,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Snackible Peri Peri Ragi Chips,55,g,2,94,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Haldiram's Pudina Treat Potato Chips - Pack of 4,95,g,4,110,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Strawberry (Mahabaleshwar),200,g,1,99,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Green Chilli,100,g,1,16,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Orange Carrot,200,g,1,13,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Pomegranate - Small,500,g,1,111,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Bottle Gourd,400,g,1,64,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Baby Banana - Pack of 2,4,pcs,2,65,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Cauliflower,400,g,1,21,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Kurkure Masala Munch Crisps - Pack of 3,75,g,3,54,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Nestle KitKat 4 Fingers Choco Coated Wafer Bar - Pack of 3,38.5,g,3,84,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Coca-Cola Soft Drink,750,ml,1,36,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Kinnow Orange,500,g,1,35,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Small Shimla Apple,500,g,1,93,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",French Beans - 250 g,250,g,1,26,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Onion - Pack of 2,1,kg,2,57,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Lady Finger - Pack of 2,250,g,2,71,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Haldiram's Aloo Bhujia,1.05,kg,1,250,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Haldiram's Takatak Chatpata Masala Stick Crisps,100,g,1,21,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Valentine's Special Cookies (Tin Box),90,g,1,0,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Bru Gold Love Map Instant Coffee,1.5,g,1,0,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Handling charge,,,,12,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Delivery charges,,,,12,1628
ORD91567506800,"14 Feb 2026, 05:28 PM",Feeding India donation,,,,1,1628
ORD39845310992,"11 Feb 2026, 09:25 PM",Snackible Desi Masala Ragi Chips,55,g,1,47,585
ORD39845310992,"11 Feb 2026, 09:25 PM",Chheda's Bhakarwadi Namkeen,150,g,1,48,585
